cluster_id,label
0,Denim Basics (Pinterest Jeans Cluster)
1,Marketplace Promotions (Mixed Fashion Ads)
2,Resale Bags & Preloved Fashion
3,High-Street OOTD & Fashion Blogger Basics
4,Luxury Glam Lifestyle (Dubai / Wedding Aesthetic)
5,Menswear Tailoring (Milan Fashion Week)
6,Smart-Casual Streetstyle (Boots / Leather / Denim)
7,Luxury Accessories Resale & Personal Shopping
8,Authentic US Luxury Bag Sellers (Promo Accounts)
10,Fashion Blogger Designer Bag Features
11,Luxury Multi-Brand Boutique Fashion